(100, 100)
(104.9296, 94.5296)
(110.1296, 88.78880000000001)
(115.6, 83.31840000000001)
(120.8, 78.65920000000001)
(126.2704, 73.72960000000002)
(130.9296, 69.61120000000003)
(135.3184, 65.76320000000003)
(139.4368, 62.18560000000003)
(143.28480000000002, 58.33760000000003)
(146.32160000000002, 54.21920000000003)
(148.5472, 49.83040000000003)
(149.9616, 45.171200000000034)
(151.6464, 40.78240000000004)
(152.52, 36.66400000000004)
(153.1232, 32.81600000000004)
(152.9152, 28.697600000000037)
(152.9776, 24.849600000000038)
(153.3104, 20.731200000000037)
(153.37279999999998, 16.883200000000038)
(153.16479999999999, 12.22400000000004)
(153.22719999999998, 7.2944000000000395)
(153.55999999999997, 2.63520000000004)
(154.16319999999996, -2.8351999999999595)
(155.03679999999997, -8.57599999999996)
(155.09919999999997, -14.04639999999996)
(155.43199999999996, -19.24639999999996)
(154.95359999999997, -23.63519999999996)
(154.20479999999998, -27.75359999999996)
(152.64479999999998, -31.60159999999996)
(151.896, -35.17919999999996)
(150.87679999999997, -38.48639999999996)
(150.128, -41.52319999999996)
(149.10879999999997, -44.289599999999965)
(148.35999999999999, -47.326399999999964)
(147.34079999999997, -50.09279999999997)
(146.59199999999998, -53.67039999999997)
(146.1136, -58.059199999999976)
(145.3648, -62.17759999999998)
(143.8048, -66.02559999999998)
(141.9744, -70.68479999999998)
(139.8736, -75.07359999999998)
(137.50240000000002, -78.65119999999999)
(135.40160000000003, -82.49919999999999)
(133.57120000000003, -86.07679999999999)
(132.01120000000003, -89.384)
(130.18080000000003, -92.9616)
(127.53920000000004, -95.72800000000001)
(124.62720000000003, -99.30560000000001)
(121.98560000000003, -102.07200000000002)
(119.07360000000003, -104.56800000000001)
(115.89120000000003, -106.79360000000001)
(112.97920000000002, -108.74880000000002)
(110.33760000000002, -110.43360000000001)
(106.88480000000003, -112.38880000000002)
(103.16160000000002, -114.07360000000001)
(99.70880000000002, -116.02880000000002)
(95.44480000000003, -117.71360000000001)
(90.36960000000003, -119.66880000000002)
(85.56480000000003, -120.81280000000002)
(81.03040000000003, -121.68640000000002)
(75.68480000000002, -122.28960000000002)
(70.06880000000002, -122.08160000000002)
(64.72320000000002, -121.60320000000003)
(59.64800000000002, -120.85440000000003)
(54.84320000000002, -119.83520000000003)
(50.30880000000001, -119.08640000000003)
(45.50400000000001, -117.52640000000002)
(39.888000000000005, -115.15520000000002)
(34.5424, -113.59520000000002)
(28.926399999999997, -111.76480000000002)
(23.580799999999993, -109.66400000000003)
(18.505599999999987, -107.29280000000003)
(13.700799999999983, -104.65120000000003)
(8.625599999999979, -101.19840000000003)
(3.8207999999999753, -97.47520000000004)
(-0.7136000000000289, -93.48160000000004)
(-4.9776000000000336, -89.75840000000005)
(-8.971200000000039, -86.30560000000006)
(-12.153600000000043, -82.58240000000006)
(-15.065600000000048, -79.12960000000007)
(-17.707200000000054, -74.86560000000007)
(-20.619200000000056, -71.41280000000008)
(-23.26080000000006, -68.23040000000007)
(-25.632000000000065, -64.77760000000008)
(-28.27360000000007, -61.05440000000008)
(-30.644800000000075, -57.060800000000086)
(-32.74560000000008, -53.33760000000009)
(-34.576000000000086, -49.344000000000094)
(-36.13600000000009, -45.0800000000001)
(-36.88480000000009, -40.5456000000001)
(-38.44480000000009, -36.281600000000104)
(-40.2752000000001, -31.747200000000106)
(-41.2944000000001, -26.94240000000011)
(-42.043200000000105, -21.326400000000113)
(-42.52160000000011, -15.440000000000117)
(-43.270400000000116, -9.283200000000122)
(-44.83040000000012, -3.396800000000125)
(-46.120000000000125, 2.219199999999872)
(-46.59840000000013, 7.023999999999869)
